event_bin,mid,coef,p,ci_low,ci_high,reference
lead_49_60,-54.5,3.5236361572987818e-06,0.9974811085379733,-0.0021840820047458335,0.002191129277060431,False
lead_37_48,-42.5,-0.00093690167378159,0.31175774021420877,-0.002752244987435068,0.0008784416398718881,False
lead_25_36,-30.5,-0.0003819379579960147,0.6730719548309516,-0.002156105563411016,0.0013922296474189863,False
lead_13_24,-18.5,-0.0014196213378280254,0.2040130634394437,-0.003610146166974704,0.0007709034913186532,False
lead_07_12,-9.5,-0.0018780394756450214,0.15516132941632865,-0.004467416536740781,0.0007113375854507385,False
lead_04_06,-5.0,-0.0007437105665836358,0.6172493800643482,-0.0036604463631342383,0.0021730252299669668,False
lead_02_03,-2.5,-0.0009436053475064543,0.5371340234300416,-0.003940323264048565,0.002053112569035657,False
reference_m01,-1.0,0.0,,,,True
lag_00,0.0,-0.0016704802037980082,0.2271788407519243,-0.004381579740791213,0.0010406193331951963,False
lag_01_02,1.5,-0.0019319046743480062,0.29047059001578845,-0.005513874208671447,0.0016500648599754339,False
lag_03_06,4.5,-0.0019978137652403166,0.13516296535308026,-0.004618641168137962,0.0006230136376573288,False
lag_07_12,9.5,-0.001047528708117862,0.6188458460248326,-0.005174510081370191,0.0030794526651344674,False
lag_13_24,18.5,-0.0022434213792761337,0.13198832607109937,-0.005162497284274144,0.0006756545257218774,False
lag_25_36,30.5,-0.006643609181171434,0.002075403005261628,-0.010872347679876134,-0.0024148706824667337,False
