,0
S_pre,1.1933282378037606
S_post,1.1856295210567869
A_pre,1.1933860655381068
A_post,1.1880351507476068
dS_full,-0.007698716746973755
leaveout_change,-0.005350914790499983
composition_gap_pre,-5.782773434614974e-05
composition_gap_post,-0.0024056296908199215
composition_gap_change,-0.0023478019564737718
leaveout_fraction,0.6950398314892341
composition_gap_fraction,0.3049601685107659
analysis_cells,9331.0
analysis_categories,102.0
analysis_papers,388708.0
identity_max_resid,4.440892098500626e-16
mean_SA,1.1878707428762953
mean_SB,1.0809576058614965
