cat,month,n,no,ng,S_all,recon,resid,SA,SB,D,pi
cs.AI,2025-04,50,20,30,1.1709152492096944,1.1709152492096944,0.0,1.202537722711836,1.1222850328118272,1.19615837282247,0.6
cs.AI,2025-05,50,22,28,1.1418795809692346,1.1418795809692348,-2.220446049250313e-16,1.1885668891270706,1.0832155446601757,1.1603702263269688,0.56
cs.AI,2025-06,50,17,33,1.1815308318745315,1.1815308318745315,0.0,1.2412823656953678,1.132291494924115,1.2133885169194263,0.66
cs.AI,2025-07,50,21,29,1.1798979547804276,1.1798979547804276,0.0,1.2436505992181113,1.111978460016219,1.203193947460814,0.58
cs.AI,2025-08,50,22,28,1.1458325476996447,1.145832547699645,-2.220446049250313e-16,1.1816683454385826,1.0969447536615233,1.1623934517072996,0.56
cs.AI,2025-09,50,16,34,1.1399165639243227,1.1399165639243227,0.0,1.201758577719754,1.0991374734873198,1.1683283802473132,0.68
cs.AI,2025-10,50,22,28,1.1746671587431272,1.1746671587431272,0.0,1.2135077852957836,1.131762371080254,1.1864298616699167,0.56
cs.AI,2025-11,50,22,28,1.1645952403817807,1.1645952403817805,2.220446049250313e-16,1.18907667348829,1.1119298318099655,1.1877321127722715,0.56
cs.AI,2025-12,50,23,27,1.182841993812295,1.1828419938122947,2.220446049250313e-16,1.2141152911593485,1.1399371948283885,1.1943515593751715,0.54
cs.AR,2024-09,50,40,10,1.1346992882808948,1.1346992882808948,0.0,1.129933721159358,1.0688228508327027,1.1514032433808132,0.2
cs.AR,2024-10,50,40,10,1.1183600121118478,1.1183600121118475,2.220446049250313e-16,1.1166328167314652,1.0997950512474821,1.1238166012008346,0.2
cs.AR,2024-12,50,34,16,1.1495783767530374,1.1495783767530376,-2.220446049250313e-16,1.150286083650739,1.043750430434712,1.172192953937943,0.32
cs.AR,2025-04,50,37,13,1.0779647851924448,1.0779647851924445,2.220446049250313e-16,1.081090686247864,1.015234050917449,1.083809166004379,0.26
cs.AR,2025-05,50,38,12,1.13028120364445,1.13028120364445,0.0,1.152662603471301,1.0055780535078638,1.1138256857294027,0.24
cs.AR,2025-06,50,38,12,1.0951538801205847,1.0951538801205847,0.0,1.0880404595947302,1.0219873285592318,1.1167102990519995,0.24
cs.AR,2025-07,50,34,16,1.1390937051983863,1.1390937051983863,0.0,1.1804770578053059,0.9853536309610014,1.1303303744925117,0.32
cs.AR,2025-09,50,34,16,1.1251571944828687,1.1251571944828687,0.0,1.1611632505938594,0.9937036070209452,1.1170230639997158,0.32
cs.AR,2025-10,50,38,12,1.1235199262010438,1.1235199262010438,0.0,1.1222921641629482,1.0705758388163962,1.1330756860259734,0.24
cs.AR,2025-12,50,37,13,1.1295324047701372,1.1295324047701372,0.0,1.1469014338486054,1.01771025296759,1.1236163018061849,0.26
cs.CE,2025-07,50,40,10,1.2568544043275551,1.2568544043275551,0.0,1.263121807510335,1.1014718309259781,1.262113507628812,0.2
cs.CE,2025-08,50,39,11,1.2773974023386683,1.2773974023386683,0.0,1.2901352897173786,1.1292158887650647,1.2743932268116844,0.22
cs.CE,2025-10,50,38,12,1.2493021259926989,1.2493021259926989,0.0,1.2574905864504402,1.1462595656817796,1.2515923042355244,0.24
cs.CL,2023-01,50,38,12,1.1272906245164718,1.1272906245164718,0.0,1.1421495171448097,1.059324838167038,1.1142203183352024,0.24
cs.CL,2023-02,50,40,10,1.1183967334226599,1.1183967334226597,2.220446049250313e-16,1.1320099714508056,1.0482392102899267,1.099743640620208,0.2
cs.CL,2023-03,50,37,13,1.134064233565808,1.134064233565808,0.0,1.142256754997963,1.0837106552060312,1.1308861874914784,0.26
cs.CL,2023-04,50,32,18,1.1055845695957593,1.1055845695957593,0.0,1.1205695285829522,1.060709556871126,1.1046007801673237,0.36
cs.CL,2023-05,50,35,15,1.1134189894406854,1.1134189894406852,2.220446049250313e-16,1.1134244184017346,1.0570826082039446,1.1246801128655108,0.3
cs.CL,2023-06,50,32,18,1.1280431589545497,1.1280431589545494,2.220446049250313e-16,1.1358639422915635,1.0965604049128612,1.1296712020677775,0.36
cs.CL,2023-07,50,33,17,1.1461328435144167,1.1461328435144171,-4.440892098500626e-16,1.1591040578436569,1.0837957008724501,1.1490366763726503,0.34
cs.CL,2023-08,50,28,22,1.1384715781277963,1.1384715781277963,0.0,1.1467042116811383,1.1118728123375734,1.1433942719823065,0.44
cs.CL,2023-09,50,22,28,1.1118881433531977,1.1118881433531977,0.0,1.1501450563080449,1.0659521695725298,1.1257297849059946,0.56
cs.CL,2023-10,50,16,34,1.1056358566500875,1.1056358566500872,2.220446049250313e-16,1.147994341851137,1.0719316263677863,1.1310495606284787,0.68
cs.CL,2023-11,50,25,25,1.127621943334016,1.127621943334016,0.0,1.1650048923025427,1.067235415374255,1.1386636612498084,0.5
cs.CL,2023-12,50,25,25,1.1409363743681897,1.1409363743681897,0.0,1.169902630717224,1.0875239949953281,1.152670513419627,0.5
cs.CL,2024-01,50,18,32,1.1088764222049843,1.1088764222049845,-2.220446049250313e-16,1.1416487915869615,1.0710375598177433,1.1327547264213544,0.64
cs.CL,2024-03,50,21,29,1.1149108996645956,1.1149108996645958,-2.220446049250313e-16,1.1251945057981687,1.1005399003294385,1.1209454948074913,0.58
cs.CL,2024-04,50,17,33,1.1191359011183732,1.1191359011183732,0.0,1.1450350540943237,1.095199578445714,1.1353856222706635,0.66
cs.CL,2024-05,50,17,33,1.128959746134814,1.128959746134814,0.0,1.1526147609721993,1.104501126868931,1.1462450740394516,0.66
cs.CL,2024-06,50,22,28,1.1091320965661065,1.1091320965661065,0.0,1.1273059390792919,1.0843727839582686,1.1175101201784714,0.56
cs.CL,2024-07,50,18,32,1.1174427166949055,1.1174427166949055,0.0,1.1238411612222097,1.0990709431879022,1.1315632681650374,0.64
cs.CL,2024-08,50,15,35,1.1082965428339062,1.1082965428339062,0.0,1.1405005865898528,1.0852251575450504,1.1280033040767536,0.7
cs.CL,2024-09,50,17,33,1.1092222007623362,1.1092222007623365,-2.220446049250313e-16,1.1411629063456388,1.0801441472739235,1.128846579162609,0.66
cs.CL,2024-12,50,16,34,1.1083401680405458,1.108340168040546,-2.220446049250313e-16,1.170429291869543,1.0688663565176635,1.135351405917122,0.68
