period,n_abstracts,n_distinct_pairs,mean_pairwise_distance,distance_sd,delta_post_minus_pre,delta_pct_of_pre
Pre-GPT,16006,128088015,1.3533809061279731,0.089880244942083,-0.021781145957906034,-1.609387708906132
Post-GPT,15796,124748910,1.331599760170067,0.10109530339802757,-0.021781145957906034,-1.609387708906132
