primary_category,macro_field,month,event_time,event_bin,post,n_all,n_non,n_marker,marker_share,dist_all,dist_leaveout,log_n_non,log_n_all,cat_adoption,cat_adoption_z
astro-ph.CO,astro-ph,2018-01,-59,lead_49_60,0,8,8,0,0.0,1.1830746795324585,1.1830746795324585,2.1972245773362196,2.1972245773362196,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-02,-58,lead_49_60,0,4,4,0,0.0,1.2065054220787357,1.2065054220787357,1.6094379124341003,1.6094379124341003,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-03,-57,lead_49_60,0,3,3,0,0.0,1.1070384142317289,1.1070384142317289,1.3862943611198906,1.3862943611198906,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-04,-56,lead_49_60,0,4,4,0,0.0,1.1240827717800401,1.1240827717800401,1.6094379124341003,1.6094379124341003,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-05,-55,lead_49_60,0,7,7,0,0.0,1.150441667248905,1.150441667248905,2.0794415416798357,2.0794415416798357,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-06,-54,lead_49_60,0,2,2,0,0.0,1.276635305050816,1.276635305050816,1.0986122886681098,1.0986122886681098,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-07,-53,lead_49_60,0,5,5,0,0.0,1.185424742043938,1.185424742043938,1.791759469228055,1.791759469228055,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-08,-52,lead_49_60,0,5,5,0,0.0,1.0997574258218594,1.0997574258218594,1.791759469228055,1.791759469228055,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-09,-51,lead_49_60,0,6,6,0,0.0,1.1917699245408901,1.1917699245408901,1.9459101490553132,1.9459101490553132,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-10,-50,lead_49_60,0,6,6,0,0.0,1.086392566134108,1.086392566134108,1.9459101490553132,1.9459101490553132,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-11,-49,lead_49_60,0,3,3,0,0.0,1.095004645054579,1.095004645054579,1.3862943611198906,1.3862943611198906,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2018-12,-48,lead_37_48,0,5,5,0,0.0,1.0976513015418563,1.0976513015418563,1.791759469228055,1.791759469228055,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-02,-46,lead_37_48,0,8,8,0,0.0,1.2129733088505703,1.2129733088505703,2.1972245773362196,2.1972245773362196,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-03,-45,lead_37_48,0,4,4,0,0.0,1.1919828365237846,1.1919828365237846,1.6094379124341003,1.6094379124341003,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-04,-44,lead_37_48,0,2,2,0,0.0,1.2381666859079201,1.2381666859079201,1.0986122886681098,1.0986122886681098,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-05,-43,lead_37_48,0,5,5,0,0.0,1.225974776640881,1.225974776640881,1.791759469228055,1.791759469228055,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-06,-42,lead_37_48,0,3,3,0,0.0,1.2312329278906657,1.2312329278906657,1.3862943611198906,1.3862943611198906,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-07,-41,lead_37_48,0,6,6,0,0.0,1.071951655845944,1.071951655845944,1.9459101490553132,1.9459101490553132,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-08,-40,lead_37_48,0,3,3,0,0.0,1.1058351210032682,1.1058351210032682,1.3862943611198906,1.3862943611198906,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-09,-39,lead_37_48,0,2,2,0,0.0,1.2657790477009483,1.2657790477009483,1.0986122886681098,1.0986122886681098,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-10,-38,lead_37_48,0,11,11,0,0.0,1.0750918090646762,1.0750918090646762,2.4849066497880004,2.4849066497880004,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-11,-37,lead_37_48,0,9,9,0,0.0,1.1564429775675744,1.1564429775675744,2.302585092994046,2.302585092994046,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2019-12,-36,lead_25_36,0,1,1,0,0.0,,,0.6931471805599453,0.6931471805599453,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2020-01,-35,lead_25_36,0,1,1,0,0.0,,,0.6931471805599453,0.6931471805599453,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2020-02,-34,lead_25_36,0,3,3,0,0.0,1.1361955425499903,1.1361955425499903,1.3862943611198906,1.3862943611198906,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2020-03,-33,lead_25_36,0,7,7,0,0.0,1.12555122056656,1.12555122056656,2.0794415416798357,2.0794415416798357,0.012162162162162163,-0.3926810438326902
astro-ph.CO,astro-ph,2020-04,-32,lead_25_36,0,5,5,0,0.0,1.0798834952917873,1.0798834952917873,1.791759469228055,1.791759469228055,0.012162162162162163,-0.3926810438326902
