primary_category,macro_field,rows,pre_rows,post_rows,observed_genai_marker_share,arxiv_macro_field,n_respondents,mean_frequency_score,share_any_use,share_weekly_or_daily,share_use_research,share_use_code,share_use_manuscripts,share_use_review,share_use_literature,share_use_scientific_search,share_use_brainstorm,nature_frequency_z,nature_any_use_z,nature_weekly_z,nature_research_writing_raw,nature_research_writing_z,n_pre_papers,text_writing_share,code_computation_share,ai_ml_method_share,literature_synthesis_share,pre_task_supported,text_writing_z,code_computation_z,ai_ml_method_z,literature_synthesis_z,pre_task_fit_raw,pre_task_fit_z,pre_ai_ml_z,ai_heavy_category,exposure_claim_role
cond-mat.quant-gas,cond-mat,1306,802,504,0.0,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,802,0.02119700748129676,0.1371571072319202,0.018703241895261846,0.034912718204488775,True,-0.49350497800251114,-1.0869899105802276,-0.7676392079315244,-0.8215852726019276,-2.4020801611846663,-1.1338134685486196,-0.7676392079315244,False,primary_external_adoption
cond-mat.soft,cond-mat,4185,2409,1776,0.0014336917562724014,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,2409,0.019925280199252802,0.20008302200083022,0.027812370278123704,0.05188875051888751,True,-0.5076917813663463,-0.8247326718739253,-0.7085703652166021,-0.4575196866957134,-1.789944139935985,-0.8448772054335594,-0.7085703652166021,False,primary_external_adoption
cond-mat.stat-mech,cond-mat,3656,2158,1498,0.0019146608315098468,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,2158,0.023632993512511583,0.211306765523633,0.052363299351251155,0.056070435588507876,True,-0.46633024069063267,-0.777955314801759,-0.5493679797661772,-0.36783986064735397,-1.6121254161397456,-0.7609444261457645,-0.5493679797661772,False,primary_external_adoption
cond-mat.str-el,cond-mat,1161,664,497,0.0,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,664,0.043674698795180725,0.29668674698795183,0.0783132530120482,0.03614457831325301,True,-0.24275421465446692,-0.422115939850144,-0.38109351191115665,-0.7951669750901259,-1.460037129594737,-0.6891567520790639,-0.38109351191115665,False,primary_external_adoption
cond-mat.supr-con,cond-mat,420,198,222,0.004761904761904762,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,198,0.015151515151515152,0.17676767676767677,0.025252525252525252,0.03535353535353535,True,-0.5609457038021015,-0.9219043710504312,-0.7251698769191857,-0.8121315704250633,-2.2949816452775957,-1.0832615586834975,-0.7251698769191857,False,primary_external_adoption
cs.AI,cs,4800,2950,1850,0.16,cs,269.0,0.4471698113207547,0.8141263940520446,0.2602230483271375,0.20817843866171,0.3048327137546468,0.1858736059479553,0.104089219330855,0.1412639405204461,0.174721189591078,0.2862453531598513,3.5510670049314865,2.6705878183162426,3.561419449168344,0.20539033457249067,1.48475654937479,2950,0.17966101694915254,0.532542372881356,0.5318644067796611,0.0976271186440678,True,1.2742464686379693,0.5608629394765597,2.5599937841550013,0.5233788814440383,2.3584882895585673,1.1132375310892564,2.5599937841550013,True,primary_external_adoption
cs.AR,cs,3084,1353,1731,0.08236057068741894,cs,269.0,0.4471698113207547,0.8141263940520446,0.2602230483271375,0.20817843866171,0.3048327137546468,0.1858736059479553,0.104089219330855,0.1412639405204461,0.174721189591078,0.2862453531598513,3.5510670049314865,2.6705878183162426,3.561419449168344,0.20539033457249067,1.48475654937479,1353,0.0679970436067997,0.7124907612712491,0.34811529933481156,0.050997782705099776,True,0.02857465283294625,1.310836422136192,1.3684585822702766,-0.4766272563057856,0.8627838186633525,0.4072453242209327,1.3684585822702766,False,primary_external_adoption
cs.CC,cs,2766,1573,1193,0.0018076644974692696,cs,269.0,0.4471698113207547,0.8141263940520446,0.2602230483271375,0.20817843866171,0.3048327137546468,0.1858736059479553,0.104089219330855,0.1412639405204461,0.174721189591078,0.2862453531598513,3.5510670049314865,2.6705878183162426,3.561419449168344,0.20539033457249067,1.48475654937479,1573,0.08709472345835982,0.43674507310870947,0.027972027972027972,0.04895104895104895,True,0.24161956630221146,0.16160715740079376,-0.7075350526363994,-0.5205212186617904,-0.11729449495878513,-0.05536454624615428,-0.7075350526363994,False,primary_external_adoption
cs.CE,cs,3237,1561,1676,0.0364535063330244,cs,269.0,0.4471698113207547,0.8141263940520446,0.2602230483271375,0.20817843866171,0.3048327137546468,0.1858736059479553,0.104089219330855,0.1412639405204461,0.174721189591078,0.2862453531598513,3.5510670049314865,2.6705878183162426,3.561419449168344,0.20539033457249067,1.48475654937479,1561,0.03139013452914798,0.7181294042280589,0.17873158231902628,0.060858424087123636,True,-0.3797951511141266,1.334336675367859,0.27007685809801063,-0.26515733708840294,0.6893841871653293,0.32539841469195807,0.27007685809801063,False,primary_external_adoption
cs.CG,cs,2596,1599,997,0.0015408320493066256,cs,269.0,0.4471698113207547,0.8141263940520446,0.2602230483271375,0.20817843866171,0.3048327137546468,0.1858736059479553,0.104089219330855,0.1412639405204461,0.174721189591078,0.2862453531598513,3.5510670049314865,2.6705878183162426,3.561419449168344,0.20539033457249067,1.48475654937479,1599,0.05128205128205128,0.6078799249530957,0.03564727954971857,0.029393370856785492,True,-0.1578900968719532,0.8748483372222361,-0.6577642942076298,-0.9399524145080589,-0.222994174157776,-0.1052561867640874,-0.6577642942076298,False,primary_external_adoption
cs.CL,cs,4800,2950,1850,0.236875,cs,269.0,0.4471698113207547,0.8141263940520446,0.2602230483271375,0.20817843866171,0.3048327137546468,0.1858736059479553,0.104089219330855,0.1412639405204461,0.174721189591078,0.2862453531598513,3.5510670049314865,2.6705878183162426,3.561419449168344,0.20539033457249067,1.48475654937479,2950,0.7671186440677966,0.4667796610169492,0.5322033898305085,0.06576271186440678,True,7.8276529718958665,0.2867827407740903,2.562191945787151,-0.15998067566234855,7.954455037007609,3.7546075279501414,2.562191945787151,True,primary_external_adoption
