label,outcome,coef,se,p_cat,ci_low,ci_high,n_cat,n_cells
leaveout_primary,dist_leaveout,-0.002049029856402757,0.0012004291255213303,0.08783794905508299,-0.004401827708417476,0.0003037679956119626,102,9331
full_sample_control,dist_all,-0.005595357489821163,0.0019670134957597354,0.004446787112966409,-0.009450633098614474,-0.0017400818810278515,102,9331
leaveout_drop_cs,dist_leaveout,-0.007507901898442066,0.010264877796666062,0.46452473596157917,-0.02762669268561241,0.012610888888728277,70,6418
leaveout_drop_ai_heavy,dist_leaveout,-0.003874917651032446,0.0010142145496507642,0.00013312233441245495,-0.005862741640944455,-0.0018870936611204378,97,8862
leaveout_unweighted,dist_leaveout,-0.002055839950775724,0.0014341863726076071,0.1517281839206151,-0.004866793588204776,0.0007551136866533283,102,9331
