row_id,topic_cluster
0,-1
2,-1
3,-1
4,-1
6,-1
11,-1
12,3
13,-1
19,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
29,-1
32,3
33,-1
34,3
35,-1
36,3
37,3
39,3
41,-1
42,-1
43,3
44,3
46,-1
47,3
48,-1
49,3
51,3
52,-1
53,-1
54,0
55,-1
56,3
57,-1
58,3
59,-1
60,-1
63,1
64,-1
65,-1
66,-1
67,3
68,-1
69,-1
72,-1
73,3
76,3
79,-1
80,-1
81,3
83,-1
86,3
87,3
88,-1
90,1
92,3
94,3
96,3
97,3
99,-1
102,-1
103,-1
104,-1
105,-1
106,-1
109,-1
111,3
112,-1
113,0
114,-1
116,3
118,-1
119,-1
120,-1
122,-1
123,3
124,-1
127,3
129,-1
132,3
136,-1
137,-1
140,-1
141,3
143,3
144,-1
147,-1
148,-1
149,3
150,-1
154,3
155,3
157,-1
158,-1
160,-1
161,3
162,-1
163,3
165,-1
167,-1
168,-1
172,-1
174,3
177,-1
179,3
182,-1
187,-1
188,-1
190,-1
191,3
194,-1
195,-1
196,3
197,3
198,-1
199,-1
200,-1
203,-1
205,3
206,-1
207,3
208,3
209,3
210,3
214,3
215,-1
216,-1
217,3
218,-1
219,3
220,3
224,-1
226,-1
227,-1
228,-1
231,-1
232,-1
233,-1
234,3
239,-1
240,-1
242,-1
243,3
244,-1
246,-1
248,-1
249,3
251,-1
253,-1
254,-1
256,-1
258,-1
261,-1
265,-1
266,-1
267,3
268,-1
270,3
272,-1
275,-1
276,-1
277,-1
278,-1
280,-1
281,3
282,-1
283,-1
284,-1
285,-1
286,-1
287,-1
288,-1
289,3
290,3
291,-1
292,-1
293,-1
294,-1
295,3
297,-1
298,3
299,-1
301,3
302,-1
303,-1
305,-1
306,-1
308,-1
310,-1
311,-1
313,-1
314,-1
315,3
318,3
319,3
320,-1
322,-1
323,3
325,-1
326,-1
327,-1
329,-1
330,-1
331,-1
332,-1
333,3
334,-1
337,-1
338,-1
339,-1
340,3
341,3
342,-1
343,-1
345,-1
346,-1
347,-1
349,-1
350,-1
351,-1
352,-1
353,-1
355,-1
356,-1
359,-1
360,-1
361,-1
362,-1
363,3
364,-1
365,3
366,3
367,-1
368,3
369,-1
371,-1
372,-1
374,-1
376,3
377,3
378,3
380,-1
381,-1
384,3
388,-1
389,-1
391,-1
394,-1
395,-1
396,-1
398,-1
399,3
400,-1
403,-1
404,-1
406,-1
407,-1
411,3
412,3
413,3
415,-1
418,3
419,-1
420,-1
421,-1
425,3
426,-1
427,-1
428,-1
430,-1
431,3
432,3
434,-1
435,-1
436,-1
438,-1
439,-1
441,-1
442,3
443,-1
444,-1
445,-1
446,-1
447,-1
448,3
449,-1
453,3
454,-1
455,-1
456,-1
458,3
461,-1
462,-1
464,-1
465,-1
466,3
467,-1
468,-1
469,-1
470,3
473,-1
475,-1
477,3
479,-1
480,-1
484,-1
485,3
486,-1
488,-1
491,-1
492,-1
493,3
495,-1
496,3
497,-1
498,3
499,-1
500,-1
502,-1
504,-1
505,-1
507,-1
508,3
511,-1
512,-1
514,2
515,-1
516,-1
517,3
519,3
520,3
522,-1
523,-1
524,-1
525,0
526,3
527,-1
529,3
531,-1
532,-1
534,3
535,-1
536,-1
539,-1
540,3
542,-1
543,-1
546,3
548,3
551,-1
552,-1
554,-1
556,-1
557,-1
561,-1
562,-1
563,-1
564,-1
567,-1
568,-1
569,-1
571,-1
573,-1
574,-1
575,-1
577,3
578,-1
579,3
581,-1
582,-1
583,-1
584,3
585,-1
586,-1
587,-1
589,3
590,-1
591,3
592,-1
593,-1
594,-1
595,-1
601,-1
602,-1
603,3
604,3
605,3
610,-1
612,-1
614,-1
616,-1
618,3
619,-1
621,3
623,-1
627,-1
629,-1
630,3
634,-1
636,-1
637,-1
639,2
641,-1
642,-1
644,-1
648,-1
649,-1
650,-1
653,-1
655,-1
657,-1
659,-1
663,3
664,-1
666,-1
667,3
672,3
674,-1
675,3
676,3
677,3
678,-1
681,-1
682,-1
683,-1
685,3
686,3
687,3
688,3
689,-1
692,-1
693,-1
694,3
696,-1
698,3
699,3
700,-1
701,-1
702,-1
704,-1
706,3
707,-1
708,3
709,-1
710,-1
712,-1
714,-1
715,3
716,-1
717,3
719,-1
720,3
721,-1
723,3
724,-1
725,-1
727,-1
728,-1
729,-1
731,-1
732,-1
736,-1
738,3
739,-1
740,-1
742,-1
743,-1
744,3
745,-1
748,3
749,0
750,3
752,-1
755,-1
757,3
758,-1
759,-1
768,-1
769,3
772,3
773,3
778,-1
781,3
783,3
785,3
786,-1
787,-1
791,-1
793,-1
794,-1
796,3
798,-1
800,3
801,-1
803,3
804,-1
805,-1
806,3
807,-1
810,-1
811,-1
814,3
816,-1
819,3
821,-1
822,-1
823,-1
824,-1
826,3
829,-1
830,-1
832,3
835,-1
837,-1
842,-1
843,-1
844,-1
846,-1
847,3
849,-1
850,3
851,-1
852,-1
854,-1
857,-1
858,-1
862,-1
865,-1
867,-1
868,3
870,-1
873,3
874,-1
875,3
876,1
877,-1
878,3
879,3
880,-1
881,3
883,-1
884,-1
885,3
887,-1
890,3
891,-1
892,-1
893,3
894,-1
895,3
897,3
899,-1
903,-1
904,1
906,3
907,-1
908,-1
909,-1
910,-1
913,-1
914,-1
915,-1
916,3
918,-1
920,3
922,3
923,-1
926,-1
927,-1
929,-1
930,-1
932,3
934,-1
935,-1
936,-1
937,-1
938,-1
940,3
941,-1
945,-1
946,-1
947,-1
948,-1
949,-1
953,3
954,3
955,-1
957,-1
958,3
959,3
960,-1
965,3
967,3
968,-1
969,-1
970,-1
971,-1
972,-1
973,-1
974,3
975,-1
977,-1
979,-1
980,3
981,-1
982,-1
983,-1
984,-1
986,-1
987,-1
988,-1
989,-1
991,-1
992,-1
993,3
994,3
995,-1
998,3
999,0
1000,3
1001,-1
1002,3
1003,3
1004,3
1005,-1
1006,-1
1009,-1
1010,-1
1011,-1
1018,-1
1019,3
1020,3
1021,0
1022,-1
1023,-1
1024,-1
1025,-1
1026,-1
1028,-1
1029,-1
1030,0
1033,-1
1036,3
1037,-1
1038,-1
1039,-1
1040,3
1041,-1
1042,3
1043,3
1046,-1
1047,-1
1048,3
1050,-1
1051,-1
1055,3
1056,-1
1061,-1
1062,-1
1064,-1
1065,-1
1066,-1
1067,-1
1068,3
1069,-1
1073,-1
1076,-1
1078,-1
1079,-1
1081,-1
1083,3
1084,-1
1085,3
1086,-1
1089,-1
1091,-1
1092,-1
1093,-1
1095,3
1097,-1
1100,-1
