primary_category,pre_months_raw,post_months_raw,usable_months_raw,eligible_monthly_did_raw,pre_months_selected,post_months_selected,usable_months_selected,eligible_monthly_did_selected
q-bio.MN,2,3,5,False,2,3,5,False
q-bio.NC,59,37,96,True,59,37,96,True
q-bio.OT,0,4,4,False,0,4,4,False
q-bio.PE,59,37,96,True,59,37,96,True
q-bio.QM,59,37,96,True,59,37,96,True
q-bio.TO,3,1,4,False,3,1,4,False
q-fin.CP,0,1,1,False,0,1,1,False
q-fin.ST,2,4,6,False,2,4,6,False
quant-ph,59,37,96,True,59,37,96,True
stat.AP,59,37,96,True,59,37,96,True
stat.CO,59,36,95,True,59,36,95,True
stat.ME,59,37,96,True,59,37,96,True
stat.ML,59,37,96,True,59,37,96,True
